# ljz_20131022_MR_Chym1_ELUTE.mzML,,,,,,,,,,,,,,,,
index,id,event,analyzer,msLevel,rt,mzLow,mzHigh,basePeakMZ,basePeakInt,TIC,charge,precursorMZ,thermo_monoMZ,filterStringMZ,ionInjectionTime,obs.mass
123,0.1.4282,2,Unknown,ms2,1372.62,99,2369,204.0874,19785.23,132934.08,3,759.6515,759.652,759.99,120,2275.933
124,0.1.4283,2,Unknown,ms2,1372.86,99,2430,204.0875,11232.28,62589.48,3,778.6595,778.6581,778.99,120,2332.957
125,0.1.4305,2,Unknown,ms2,1379.61,99,1005,110.072,27365.74,271001.38,3,317.4996,317.4999,317.5,120,949.477
126,0.1.4313,2,Unknown,ms2,1382.06,99,727,327.0789,17788.9,176055.55,2,343.715,343.7149,343.71,120,685.4154
127,0.1.4342,2,Unknown,ms2,1391.16,99,1354,208.9538,73682.48,369606.56,3,430.8905,430.8906,430.89,120,1289.65
128,0.1.4348,2,Unknown,ms2,1392.93,99,2369,204.0872,16681.69,104238.11,3,759.6526,759.655,759.99,120,2275.936
129,0.1.4374,2,Unknown,ms2,1401.2,99,1005,227.0404,23092.99,250686.88,3,317.5,317.4999,317.5,120,949.4782
130,0.1.4386,2,Unknown,ms2,1404.81,99,1061,335.1266,54844.95,190867.62,3,336.5064,336.5069,336.51,120,1006.497
131,0.1.4411,2,Unknown,ms2,1413,99,909,474.269,157697.27,1550922.6,2,431.2269,431.2271,431.23,120,860.4392
132,0.1.4428,2,Unknown,ms2,1418.55,99,727,327.0794,13340,124124.78,2,343.7148,343.7149,343.71,120,685.415
133,0.1.4438,2,Unknown,ms2,1421.55,99,1005,227.0397,21333.25,256072.84,3,317.4999,317.5,317.5,120,949.4779
134,0.1.4450,2,Unknown,ms2,1425.16,99,1061,335.1263,69461.2,338065.69,3,336.5066,336.5066,336.51,120,1006.498
135,0.1.4464,2,Unknown,ms2,1429.72,99,1061,110.0719,14419.57,69324.55,2,504.2567,504.2566,504.26,120,1006.499
136,0.1.4476,2,Unknown,ms2,1433.45,99,909,474.2687,189890.03,1808560.5,2,431.2268,431.2267,431.23,116.7643,860.439
137,0.1.4514,2,Unknown,ms2,1445.98,99,1061,335.1266,71034.64,360941.12,3,336.5066,336.5066,336.51,120,1006.498
138,0.1.4530,2,Unknown,ms2,1450.91,99,1061,110.0721,15678.19,64805.83,2,504.2566,504.2563,504.26,120,1006.499
139,0.1.4536,2,Unknown,ms2,1452.67,99,727,327.0794,13064.9,120762.17,2,343.7153,343.7151,343.72,120,685.416
140,0.1.4537,2,Unknown,ms2,1452.89,99,2768,138.0555,5692.43,35943.21,4,665.2768,665.2771,665.53,120,2657.078
141,0.1.4540,2,Unknown,ms2,1453.65,99,909,474.2688,309860.34,2880857.5,2,431.2268,431.2269,431.23,67.8551,860.439
142,0.1.4546,2,Unknown,ms2,1455.54,99,672,242.0937,566535.44,5053460.5,2,315.204,315.2041,315.2,113.0196,628.3934
143,0.1.4586,2,Unknown,ms2,1468.13,99,1061,335.1265,76450.04,383294.66,3,336.5067,336.5066,336.51,120,1006.498
144,0.1.4587,2,Unknown,ms2,1468.28,99,1005,227.0408,23597.03,265620.94,3,317.4996,317.4995,317.5,120,949.477
145,0.1.4602,2,Unknown,ms2,1472.83,99,1475,705.2063,6694.4,33913.8,2,705.7902,705.7907,705.79,120,1409.566
146,0.1.4605,2,Unknown,ms2,1473.63,99,2768,138.0555,27679.67,493779.22,4,665.2763,665.2763,665.53,120,2657.076
147,0.1.4607,2,Unknown,ms2,1474.04,99,909,474.2687,259892.16,2357202,2,431.2267,431.2267,431.23,86.8094,860.4388
148,0.1.4620,2,Unknown,ms2,1478.38,99,1061,110.072,54612.61,375366.94,3,336.8338,336.8333,336.83,120,1007.48
149,0.1.4638,2,Unknown,ms2,1483.92,99,2647,786.8785,18938.56,181920.73,4,635.7782,635.7798,636.03,120,2539.084
150,0.1.4642,2,Unknown,ms2,1485.01,99,2586,127.0392,5795.99,44558.05,4,621.2769,621.277,621.78,120,2481.078
151,0.1.4660,2,Unknown,ms2,1490.57,99,2798,749.355,7384.18,74862.83,4,673.282,673.2828,673.53,120,2689.099
